달래된장국,취나물된장무침,금귤,요플레,총각김치,파프리카해물완자전,검정쌀밥구암,달래된장국,,3
제주감귤쥬스,배추김치,실곤약무침,상추겉절이,돼지수육,근대된장국,기장밥구암,,,2
톳두부무침,오렌지,깍두기,죽순버섯볶음,새우까스/케첩,조랭이떡국,옥수수밥,,,2
딸기,브로컬리/초고추장,닭감자볶음,배추김치,계란찜,북어국,쌀밥,,,3
순대,숙주나물,깍두기,만두탕수,참치김치찌개,흑미찹쌀밥,,,,2
꼬지어묵국,유기농포도쥬스,깍두기,미나리나물,도토리묵,오리불고기,꼬지어묵국,꽁보리밥,,2
이츠웰쥬스(능금감귤),절편,총각김치,시금치나물,닭봉떡조림,버섯전골,현미찹쌀밥,,,2
맑은콩나물국,쌀밥,방울토마토,배추김치,오이무침(무색),두부구이/양념장,고등어김치조림,맑은콩나물국,쌀밥,3
유부된장국,바이오거트,감자샐러드샌드위치,배추김치,유부된장국,날치알김치볶음밥,,,,2
쌀밥,딸기(여고),크로와상(청정원)/잼,콩나물맛살냉채,총각김치,쇠고기떡국(냉면기),,,,1
귤,배추김치,닭꼬지,카레라이스,부추달걀국,,,,,2
조갯살미역국,연근조림,머스터드소스,오리훈제야채무침,배추김치,겨울초겉절이,흑미찹쌀밥,,,3
깍두기,오징어두부국,아몬드후레이크/우유,참치김치볶음,닭다리알감자조림,쌀밥,,,,2
웨지감자구이/케첩,배추김치,단무지,다시마미소국,자장면,,,,,2
귤,시금치나물,북어계란국,깍두기,연두부/양념장,돈육김치볶음,쌀밥,,,2
참치야채비빔밥,방아멸치시락국,배추김치,바나나(손),인절미,방아멸치시락국,,,,2
김말이튀김,계란떡볶이,배추김치,오이무침,동태국,쌀밥,,,,3
단호박수제비국,방울토마토,초코우유,배추김치,오징어젓갈,함박스테이크,현미찹쌀밥,,,3
꽁보리밥,꼬지어묵국,도토리묵,오리불고기,깍두기,숙주나물,,,,2
쌀밥,맑은콩나물국,참나물,깍두기,닭다리구이,두부구이,맑은콩나물국,,,3
시레기된장국,초코머핀,요구르트(이오),배추김치,어린새송이버섯볶음,낙지볶음,시레기된장국,쌀밥,,2
무생채,배추김치,알감자조림,미트볼떡꼬지강정,대구매운탕,검정콩밥,,,,2
속배추겉절이,귤,쌀밥,깍두기,영계백숙마리,,,,,2
냉이된장국,배추김치,도마슈노플레인,검은깨올방개묵,양념꼬막,쌀밥,바나나(손),,,3
비름나물,부대찌개,깍두기,어묵송이버섯볶음,갈치구이/양념장,옥수수밥,,,,2
요구르트(이오),요구르트드레싱,토마토,오곡찐빵,깍두기,계란파국,갈비산적아채볶음밥,,,2
요구르트,쌈장,꽃게탕,멜론,배추김치,양배추,런천미트구이/케첩,꽃게탕,쌀밥,3
쌀밥,석박지,달래오이생채,김치전,홍게살크레볼/케첩,등뼈감자탕,,,,2
멸치김치찌개,닭야채볶음(떡),깍두기,삼치구이,차조밥,시금치나물,,,,2
한방떡,칼슘깻잎육전,베이컨감자채볶음,총각김치,물만두국,쌀밥,,,,2
오므라이스,유부된장국,케이준치킨샐러드,총각김치,오렌지,,,,,2
치즈케익,제주감귤쥬스,깍두기,조갯살무국,볶음김치/김가루/계란,,,,,2
맑은콩나물국,오,불고기떡볶음,깍두기,감자샐러드,애호박나물,맑은콩나물국,토마코펜라이스업밥,,3
퓨어(저지방),멸치볶음,배추김치,시금치땅콩무침,너비아니양파조림,버섯전골,현미찹쌀밥,,,3
근대된장국,딸기도넛,사과,배추김치,양배추,다시마쌈,깐쇼새우/칠리소스,흑미찹쌀밥,,2
배추김치,취나물된장무침,갑오징어야채무침,계란찜,굴두부국,쌀밥,,,,3
엔요,깍두기,함박스테이크,고구마맛탕,유부된장국,야채비빔밥,,,,2
초코머핀,오렌지,배추김치,쌈장,친환경모듬쌈,삼겹살버섯볶음,홍합무국,쌀밥,,2
호두과자,배추김치,너비아니버섯조림,갑오징어야채무침,건새우시금치국,쌀밥,요구르트,,,3
바이오거트,고구마케익,바나나(손),깍두기,잔치국수,,,,,1
배추김치,청포묵김가루무침,조기구이/양념장,콩나물무침,경단미역국,현미찹쌀밥,,,,2
달래된장국,키위,김구이(완제),배추김치,비엔나야채볶음,애호박전/양념간장,달래된장국,쌀밥,쁘띠젤,2
쥐취채무침,총각김치,표고돼지갈비찜,김가루계란말이,클로렐라쌀밥,맑은콩나물국,,,,2
낙지두부국,리쪼,배추김치,검은깨올방개묵,겨울초겉절이,고등어무조림,쌀밥,,,3
초코우유,사과,석박지,해물완자전,참치김치볶음,북어계란국,쌀밥,,,2
검은콩우유,오렌지,단호박전,배추김치,맑은조개살탕국,비빔밥,,,,2
상추겉절이,두부구이/양념장,왕찐만두/양념장,상추겉절이,배추김치,닭감자탕,옥수수밥,,,2
